name,state
Bruno Kuzuhara,FL
Alexander Bernard,FL
Michael Zheng,NJ
Ethan Quinn,CA
Samir Banerjee,NJ
Ozan Colak,MI
Jack Anthrop,FL
Benjamin Kittay,MD
Sebastian Gorzny,CA
Victor Lilov,NC
Nishesh Basavareddy,IN
Ignacio Buse,FL
Fnu Nidunjianzan,FL
Masato Perera,CA
Nicolas Kotzen,NJ
Azuma Visaya,HI
Jonah Braswell,FL
Nathan Cox,LA
Bjorn Swenson,MN
Ryan Colby,VA
Aadarsh Tripathi,CA
Vignesh Gogineni,OH
Sebastian Sec,NY
Teddy Truwit,CT
Noah Becker,AR
Preston Stearns,OH
Eric Li,NJ
Lawee Sherif,CA
Andrew Chang,TX
Conrad Brown,CA
John Kim,CA
Waleed Qadir,NC
Ekansh Kumar,VA
Nicholas Steiglehner,NY
Jackson Armistead,SC
Boyeni Keenan,NC
Kian Vakili,FL
Herrick Legaspi,CA
Jerry Barton,TX
Grant Lothringer,TX
Chad Miller,OH
Kyle Totorica,TX
Alexander Aney,NY
David Saye,NC
Sam Scherer,NY
Will Mayew,NC
Nikolay Sysoev,FL
Aarush Ganji,NC
Daniel Cohen,NJ
Zachary Pellouchoud,CA
Hardy Owen,UT
Robert Bauer,GA
Alex Koong,TX
Mitchell Deames,SC
Braden Hannig,AL
Aman Sharma,NY
Noah Hernandez,IL
Tyler Bowers,IL
Lucca Liu,CA
Pranav Suhas Nemani,NJ
Thomas Kennedy,GA
Kabeer Kapasi,TX
Jeffrey Etterbeek,MI
Eugenio Gonzalez,CA
Ian Rasheed,SC
Jason Shuler,NY
Evan Lee,CT
Kyle Overmyer,CA
Jack Wong,NJ
Aditya Narayanan,NC
Jack Brown,AZ
Jayanth Devaiah,MA
Ethan Silva,TX
Brett Pearson,WA
Luca Hotze,FL
Samuel Frizelle,FL
Hudson Beaudoin,NY
Deacon Thomas,TX
Michael Nicholls,FL
AJ Moore,CA
Felipe Pinzon,FL
Sebastian Rondon,FL
Mujtaba Ali-Khan,IL
Lincoln Battle,NC
Luke Bollinger,CA
Zamaan Moledina,FL
Kaustubh Holcomb,AL
Nicolas Arts,TX
Christian Gonzalez,TX
Andrew Meier,IN
Douglas Yaffa,NY
Alexander Adamec,FL
Tristan Messerli,CA
Emil Grantcharov,NY
Adam Chodur,CA
Nicholas Chen,CA
Eli Wood,KY
Luke Bracks,OK
Emilio Sanchez,FL
Dean Cooper-Kirby,FL
