names,actual utr
Carlos Alcaraz,15.27
Holger Vitus Nødskov Rune,14.86
Hamad Medjedovic,14.12
Giovanni Mpetshi Perricard,14.02
Arthur Fils,13.9
Luca Nardi,13.89
Toby Kodat,13.86
Shintaro Mochizuki,13.83
Martin Damm,13.82
Jerome Kym,13.76
Luca Van Assche,13.73
Daniel Rincon,13.67
Juncheng Shang,13.51
Sean Cuenin,13.49
Jack Pinnington Jones,13.37
Daniel Merida,13.32
Bruno Kuzuhara,13.3
Ethan Quinn,13.29
Lui Maxted,13.28
Pierre-yves Bailly,13.28
Alejandro Manzanera Pertusa,13.28
Mark Lajal,13.25
Marc Othman Ktiri,13.23
Maks Kasnikowski,13.22
Abedallah Shelbayh,13.2
James Mccabe,13.19
Michael Zheng,13.18
Gabriele Piraino,13.17
Max Westphal,13.16
Viacheslav Bielinskyi,13.13
Kyle Kang,13.12
Samir Banerjee,13.1
Dino Prizmic,13.1
Giorgio Tabacco,13.1
Max Hans Rehberg,13.08
Kalin Ivanovski,13.07
Marko Topo,13.04
Pedro Boscardin Dias,13.03
Giulio Perego,13.03
Aleksander Orlikowski,13
Aidan Mayo,13
Leo Borg,13
Charlelie Cosnet,12.97
Robin Bertrand,12.96
Mika Brunold,12.95
Mili Poljicak,12.94
Alvaro Guillen,12.94
Alexander Bernard,12.94
Miguel Pérez Peña,12.92
Liam Gavrielides,12.91
Mehdi Sadaoui,12.91
Vilius Gaubas,12.9
Henrique Rocha,12.9
Nishesh Basavareddy,12.89
Ozan Colak,12.89
Oscar Pinto Sansano,12.88
Colton Smith,12.88
Sebastian Dominko,12.87
Victor Lilov,12.87
Dali Blanch,12.86
Edas Butvilas,12.85
Sebastian Gorzny,12.82
Vojtech Petr,12.8
Matthew William Donald,12.8
Richard Gama,12.79
Johan Alexander Rodriguez,12.79
Daniel Bagnolini,12.76
German Samofalov,12.76
Jack Anthrop,12.76
Martyn Pawelski,12.75
Derek Pham,12.75
Adam Jurajda,12.74
Artur Kukasian,12.74
Jakub Mensik,12.73
Pedro Rodenas,12.73
Benjamin Kittay,12.73
Alexander Blockx,12.72
Constantinos Koshis,12.71
Gonzalo Sebatian Bueno Rodríguez,12.71
Edward Winter,12.69
Miguel Gomes,12.69
Thibault Verdier,12.69
Gerard Planelles Ripoll,12.68
Elmer Moller,12.68
Adolfo Daniel Vallejo,12.68
Bor Artnak,12.67
Braden Shick,12.66
Aidan Kim,12.64
João Loureiro,12.64
Alex Michelsen,12.64
Luka Mikrut,12.63
Paul Inchauspe,12.63
Sascha Gueymard Wayenburg,12.62
Martin Katz,12.61
Nicolas Kotzen,12.61
Matias Ponce De Leon,12.6
Philip Sekulic,12.6
Daniel Siniakov,12.6
Jaden Weekes,12.59
Arda Azkara,12.59
Nikolay Nedelchev,12.59
Azuma Visaya,12.59
Spencer Johnson,12.59
Gerard Campana Lee,12.59
Nathan Cox,12.59
William Nolan,12.59
Sean Daryabeigi,12.59
Petr Nesterov,12.58
Stefan Popovic,12.58
Rohan Murali,12.56
Philip Florig,12.55
Igor Kudriashov,12.54
Marko Andrejic,12.54
Chirag Duhan,12.53
Lucas Brown,12.52
Peter Benjamin Privara,12.52
Nicholas Heng,12.52
Konstantin Zhzhenov,12.52
William Mroz,12.51
Daniel Sancho Arbizu,12.51
Casey Hoole,12.5
Petar Jovanovic,12.49
Alexander Razeghi,12.49
Bjorn Swenson,12.49
Petar Teodorovic,12.49
Jayden Templeman,12.49
Adit Sinha,12.48
Michael Ross,12.47
Artem Podorozhnyi,12.47
Daniele Minighini,12.46
Masato Perera,12.46
Daniil Ostapenkov,12.45
Antoine Ghibaudo,12.45
Maxime St-hilarie,12.45
